treinserie,even,treinnummervan,treinummertot,geheelopgeheven,opgehevenvan,opgeheventot
500,true,512,584,false,ut,rtd
500,false,519,591,false,rtd,ut
12500,true,12514,12582,false,ut,rtd
12500,false,12521,12589,false,rtd,ut
700,true,714,774,false,lls,gvc
700,false,721,721,false,shl,lls
700,false,725,781,false,gvc,lls
12700,true,12716,12776,false,lls,gvc
12700,false,12723,12779,false,gvc,lls
800,false,827,829,false,hdr,ut
800,false,823,825,false,amr,ut
800,false,837,863,false,amr,ut
800,false,831,835,false,sgn,ut
800,false,865,873,false,sgn,ut
800,true,820,846,false,ut,amr
800,true,860,864,false,ut,amr
800,true,814,818,false,ut,sgn
800,true,848,858,false,ut,sgn
1700,true,1714,1786,false,ut,gvc
1700,false,1719,1791,false,gvc,ut
11700,true,11712,11784,false,ut,gvc
11700,false,11719,11787,false,gvc,ut
2200,false,2200,2299,true,,
2200,true,2200,2299,true,,
2600,true,2602,2602,false,rsd,bgn
2600,true,2604,2674,false,rsd,vs
2600,false,2623,2625,false,bgn,rsd
2600,false,2627,2697,false,vs,rsd
12600,false,12683,12687,false,vs,rsd
3500,true,3502,3520,false,hrl,ut
3500,true,3528,3558,false,hrl,ut
3500,true,3564,3598,false,hrl,ut
3500,false,3501,3557,false,ut,hrl
3500,false,3565,3599,false,ut,hrl
4300,true,4314,4320,false,hfd,ledn
4300,false,4357,4399,false,hfd,ledn
4300,false,4325,4331,false,ledn,hfd
4300,false,4363,4367,false,ledn,hfd
4700,false,4700,4799,true,,
4700,true,4700,4799,true,,
4900,false,4900,4999,true,,
4900,true,4900,4999,true,,
5000,false,5021,5075,false,gvc,ddr
5000,true,5014,5068,false,ddr,gvc
5700,true,5710,5762,false,ledn,gvc
5700,false,5721,5775,false,gvc,ledn
6100,false,6100,6199,true,,
6100,true,6100,6199,true,,
7400,false,7421,7431,false,asd,bkl
7400,false,7459,7469,false,asd,bkl
7400,true,7410,7422,false,bkl,asd
7400,true,7448,7458,false,bkl,asd
9700,false,9700,9799,true,,
9700,true,9700,9799,true,,
14100,false,14100,14199,true,,
14100,false,14100,14199,true,,
14500,false,14500,14599,true,,
14500,false,14500,14599,true,,
17400,false,17400,17499,true,,
17400,true,17400,17499,true,,
19500,false,19519,19531,false,ledn,apn
19500,false,19553,19571,false,ledn,apn
19500,true,19510,19522,false,apn,ledn
19500,true,19546,19564,false,apn,ledn
19800,false,19800,19899,true,,
28300,true,28300,28399,true,,
28300,false,28300,28399,true,,
